product_id,brand,product_line,product_class,product_size
1,Solex,Standard,medium,medium
2,Trek Bicycles,Standard,medium,large
3,OHM Cycles,Standard,low,medium
4,Norco Bicycles,Standard,medium,medium
5,Giant Bicycles,Standard,medium,large
6,Giant Bicycles,Road,medium,medium
7,WeareA2B,Standard,medium,medium
8,WeareA2B,Standard,medium,medium
9,Solex,Standard,medium,large
10,WeareA2B,Standard,medium,medium
11,Trek Bicycles,Mountain,low,medium
12,OHM Cycles,Standard,low,medium
13,Trek Bicycles,Standard,low,medium
14,Norco Bicycles,Standard,high,small
15,Norco Bicycles,Standard,medium,medium
16,Giant Bicycles,Standard,medium,small
17,Trek Bicycles,Standard,medium,medium
18,WeareA2B,Touring,medium,large
19,Trek Bicycles,Standard,medium,large
20,Norco Bicycles,Standard,medium,medium
21,WeareA2B,Standard,low,medium
22,Giant Bicycles,Standard,medium,medium
23,Trek Bicycles,Road,low,small
24,Norco Bicycles,Road,medium,medium
25,WeareA2B,Standard,medium,small
26,Solex,Standard,high,large
27,WeareA2B,Standard,medium,medium
28,Solex,Touring,medium,large
29,Solex,Standard,low,medium
30,Trek Bicycles,Road,medium,large
31,Solex,Standard,medium,medium
32,Solex,Standard,medium,medium
33,OHM Cycles,Standard,medium,medium
34,Giant Bicycles,Standard,medium,medium
35,Norco Bicycles,Road,medium,large
36,Giant Bicycles,Standard,medium,large
37,OHM Cycles,Standard,high,medium
38,Norco Bicycles,Standard,low,medium
39,Solex,Standard,medium,medium
40,OHM Cycles,Standard,high,medium
41,Giant Bicycles,Standard,high,small
42,OHM Cycles,Road,high,large
43,Norco Bicycles,Standard,medium,small
44,Giant Bicycles,Standard,high,medium
45,OHM Cycles,Standard,medium,medium
46,OHM Cycles,Standard,medium,medium
47,WeareA2B,Standard,medium,small
48,OHM Cycles,Touring,low,medium
49,Giant Bicycles,Standard,high,medium
50,Norco Bicycles,Standard,low,medium
51,Giant Bicycles,Road,medium,medium
52,Trek Bicycles,Road,medium,medium
53,WeareA2B,Standard,medium,medium
54,Solex,Standard,medium,medium
55,Solex,Standard,high,medium
56,Solex,Standard,medium,medium
57,Solex,Standard,medium,medium
58,Trek Bicycles,Road,medium,medium
59,Giant Bicycles,Standard,medium,large
60,Norco Bicycles,Standard,high,medium
61,Trek Bicycles,Standard,high,medium
62,WeareA2B,Standard,medium,medium
63,Giant Bicycles,Standard,medium,large
64,Solex,Standard,low,medium
65,Trek Bicycles,Standard,high,medium
66,Giant Bicycles,Touring,medium,large
67,OHM Cycles,Road,medium,small
68,Trek Bicycles,Standard,medium,small
69,Solex,Road,medium,large
70,OHM Cycles,Standard,medium,medium
71,Solex,Standard,medium,medium
72,WeareA2B,Road,low,small
73,WeareA2B,Standard,medium,medium
74,WeareA2B,Standard,medium,medium
75,2,2,2,2
76,Giant Bicycles,Standard,high,medium
77,WeareA2B,Touring,medium,large
78,Trek Bicycles,Road,low,medium
79,Solex,Road,medium,medium
80,Trek Bicycles,Standard,medium,small
81,OHM Cycles,Road,medium,medium
82,Giant Bicycles,Standard,medium,medium
83,Norco Bicycles,Mountain,low,small
84,Solex,Standard,high,medium
85,WeareA2B,Touring,medium,medium
86,2,2,2,2
87,Solex,Standard,medium,large
88,Norco Bicycles,Road,medium,medium
89,WeareA2B,Standard,medium,medium
90,Norco Bicycles,Road,high,large
91,Norco Bicycles,Standard,medium,small
92,WeareA2B,Standard,medium,medium
93,OHM Cycles,Standard,high,medium
94,Solex,Standard,medium,medium
95,Giant Bicycles,Road,low,small
96,Solex,Road,medium,small
97,Solex,Standard,medium,medium
98,OHM Cycles,Standard,medium,medium
99,OHM Cycles,Road,medium,medium
100,Solex,Standard,medium,large
101,2,2,2,2
102,2,2,2,2
103,Norco Bicycles,Road,medium,medium
104,OHM Cycles,Standard,medium,medium
105,2,2,2,2
106,2,2,2,2
107,2,2,2,2
108,2,2,2,2
109,2,2,2,2
110,2,2,2,2
111,2,2,2,2
112,2,2,2,2
113,2,2,2,2
114,2,2,2,2
115,2,2,2,2
116,2,2,2,2
117,2,2,2,2
118,2,2,2,2
119,2,2,2,2
120,2,2,2,2
121,2,2,2,2
122,2,2,2,2
123,2,2,2,2
124,2,2,2,2
125,2,2,2,2
126,2,2,2,2
127,2,2,2,2
128,2,2,2,2
129,2,2,2,2
130,2,2,2,2
131,2,2,2,2
132,2,2,2,2
133,2,2,2,2
134,2,2,2,2
135,2,2,2,2
136,2,2,2,2
137,2,2,2,2
138,2,2,2,2
139,2,2,2,2
140,2,2,2,2
141,2,2,2,2
142,2,2,2,2
143,2,2,2,2
144,2,2,2,2
145,2,2,2,2
