transaction_id,product_id,customer_id,transaction_date,online_order,list_price,standard_cost
1,1,2950,1,0,71.49,53.62
2,2,3120,2,1,2091.47,388.92
3,3,402,3,0,1793.43,248.82
4,4,3135,4,0,1198.46,381.1
5,5,787,5,1,1765.3,709.48
6,6,2339,6,1,1538.99,829.65
7,7,1542,7,1,60.34,45.26
8,8,2459,8,0,1292.84,13.44
9,9,1305,9,0,1071.23,380.74
10,10,3262,10,1,1231.15,161.6
11,11,1986,11,0,574.64,459.71
12,12,2783,12,1,71.16,56.93
13,13,1243,13,1,1057.51,154.4
14,14,2717,14,0,1661.92,1479.11
15,5,247,15,0,1765.3,709.48
16,2,2961,16,0,2091.47,388.92
17,15,2426,17,0,1555.58,818.01
18,16,1842,18,0,1311.44,1167.18
19,8,2268,19,1,1292.84,13.44
20,6,3002,20,1,1538.99,829.65
21,17,1582,21,0,499.53,388.72
22,3,595,22,1,1793.43,248.82
23,3,2001,23,1,1793.43,248.82
24,6,515,24,0,1538.99,829.65
25,18,2822,15,0,1362.99,57.74
26,19,2596,25,0,1469.44,596.55
27,19,2666,26,1,1469.44,596.55
28,11,76,27,0,574.64,459.71
29,20,3368,28,1,360.4,270.3
30,21,1173,29,0,642.31,513.85
31,4,2810,30,1,1198.46,381.1
32,22,3214,31,0,1403.5,954.82
33,6,1272,32,0,1538.99,829.65
34,23,2003,33,1,1720.7,1531.42
35,24,2171,34,0,544.05,376.84
36,25,3356,35,0,1415.01,1259.36
37,26,1040,36,0,1842.92,1105.75
38,1,2916,37,0,71.49,53.62
39,10,427,38,0,1231.15,161.6
40,24,2448,39,1,544.05,376.84
41,27,2570,40,1,1769.64,108.76
42,28,3398,41,0,2083.94,675.03
43,21,488,42,0,642.31,513.85
44,29,165,43,0,1289.85,74.51
45,30,2787,44,1,1894.19,598.76
46,31,3053,45,0,1163.89,589.27
47,13,475,46,1,1057.51,154.4
48,32,1305,47,1,1151.96,649.49
49,33,1251,48,0,235.63,125.07
50,34,3103,49,0,642.7,211.37
51,35,3108,50,0,1240.31,795.1
52,36,857,51,0,1635.3,993.66
53,37,3455,52,1,227.88,136.73
54,17,2549,53,1,499.53,388.72
55,38,3140,54,0,363.01,290.41
56,23,3406,55,0,1720.7,1531.42
57,36,2294,10,1,1635.3,993.66
58,39,1031,55,0,100.35,75.26
59,40,993,56,1,1458.17,874.9
60,41,3473,57,0,1977.36,1759.85
61,42,1839,58,0,12.01,7.21
62,16,1824,57,1,1311.44,1167.18
63,22,368,59,0,1403.5,954.82
64,17,2000,60,0,499.53,388.72
65,43,825,61,1,1216.14,1082.36
66,33,3315,62,1,235.63,125.07
67,1,75,63,1,71.49,53.62
68,44,1498,64,1,1129.13,677.48
69,2,1612,65,1,2091.47,388.92
70,17,2192,66,1,499.53,388.72
71,8,419,67,0,1292.84,13.44
72,27,3307,68,1,1769.64,108.76
73,7,2430,69,0,60.34,45.26
74,45,1506,70,1,183.86,137.9
75,46,1346,45,0,912.52,141.4
76,7,927,71,0,60.34,45.26
77,47,763,18,0,175.89,131.92
78,48,2397,72,0,1073.07,933.84
79,49,102,38,1,1179.0,707.4
80,50,2884,73,0,958.74,748.9
81,51,759,74,1,792.9,594.68
82,9,773,75,1,1071.23,380.74
83,33,3398,76,1,235.63,125.07
84,16,3297,77,1,1311.44,1167.18
85,52,2434,78,1,290.62,215.14
86,22,1861,79,0,1403.5,954.82
87,17,1233,80,0,499.53,388.72
88,53,1390,81,0,752.64,205.36
89,42,2682,82,1,12.01,7.21
90,54,439,83,1,478.16,298.72
91,55,1579,84,1,1024.66,614.8
92,56,2984,85,1,1945.43,333.18
93,16,3470,39,1,1311.44,1167.18
94,33,1,27,0,235.63,125.07
95,57,757,13,0,441.49,84.99
96,22,1778,86,0,1403.5,954.82
97,48,211,87,1,1073.07,933.84
98,58,333,88,2,533.51,400.13
99,59,32,89,0,569.56,528.43
100,54,119,90,0,478.16,298.72
101,60,2347,91,0,1148.64,689.18
102,44,2353,92,0,1129.13,677.48
103,16,788,93,0,1311.44,1167.18
104,5,1468,38,0,1765.3,709.48
105,18,821,94,0,1362.99,57.74
106,61,2489,56,0,495.72,297.43
107,15,2710,43,0,1555.58,818.01
108,62,947,95,1,1992.93,762.63
109,63,1335,96,1,1812.75,582.48
110,64,1076,97,0,945.04,507.58
111,12,3320,15,1,71.16,56.93
112,51,779,21,0,792.9,594.68
113,65,3296,44,1,358.39,215.03
114,66,455,98,1,1873.97,863.95
115,21,1779,99,0,642.31,513.85
116,20,2703,100,1,360.4,270.3
117,67,806,50,0,1810.0,1610.9
118,68,22,101,0,1775.81,1580.47
119,19,1591,102,0,1469.44,596.55
120,61,678,103,0,495.72,297.43
121,6,50,104,0,1538.99,829.65
122,69,1038,105,1,1777.8,820.78
123,53,1453,106,1,752.64,205.36
124,70,1339,101,0,795.34,101.58
125,71,3382,67,1,575.27,431.45
126,70,773,76,0,795.34,101.58
127,52,2503,107,1,290.62,215.14
128,6,1057,13,0,1538.99,829.65
129,47,1397,108,0,175.89,131.92
130,27,2134,109,0,1769.64,108.76
131,72,2403,110,1,1172.78,1043.77
132,10,1937,111,0,1231.15,161.6
133,73,1282,112,1,1065.03,230.09
134,5,2183,68,0,1765.3,709.48
135,51,1788,113,0,792.9,594.68
136,74,1170,114,1,1807.45,778.69
137,75,431,115,0,1942.61,2.0
138,73,1940,116,0,1065.03,230.09
139,49,2073,117,0,1179.0,707.4
140,76,462,118,0,1274.93,764.96
141,56,2728,43,0,1945.43,333.18
142,29,2053,119,0,1289.85,74.51
143,41,2135,120,1,1977.36,1759.85
144,77,1217,121,0,1890.39,260.14
145,78,2992,44,1,980.37,234.43
146,79,3261,19,1,416.98,312.74
147,24,2748,114,1,544.05,376.84
148,80,3262,122,0,1386.84,1234.29
149,18,788,101,0,1362.99,57.74
150,81,3067,100,1,742.54,667.4
151,82,701,123,0,230.91,173.18
152,25,648,3,0,1415.01,1259.36
153,3,3286,124,1,1793.43,248.82
154,2,3383,19,1,2091.47,388.92
155,83,982,97,1,688.63,612.88
156,26,676,125,1,1842.92,1105.75
157,84,385,126,1,748.17,448.9
158,47,1229,127,1,175.89,131.92
159,85,3232,128,0,1466.68,363.25
160,86,3300,129,0,1656.86,2.0
161,51,2381,130,0,792.9,594.68
162,5,371,131,0,1765.3,709.48
163,48,2519,132,1,1073.07,933.84
164,55,2264,133,0,1024.66,614.8
165,2,2637,134,1,2091.47,388.92
166,5,3262,51,0,1765.3,709.48
167,38,3177,135,2,363.01,290.41
168,49,2267,136,0,1179.0,707.4
169,87,456,137,0,202.62,151.96
170,37,404,3,2,227.88,136.73
171,88,3121,138,0,1036.59,206.35
172,30,2365,26,1,1894.19,598.76
173,88,2528,139,0,1036.59,206.35
174,85,3151,59,0,1466.68,363.25
175,6,3241,27,0,1538.99,829.65
176,89,1335,140,1,1228.07,400.91
177,38,2234,141,0,363.01,290.41
178,45,3226,85,1,183.86,137.9
179,54,1365,142,0,478.16,298.72
180,68,3349,143,1,1775.81,1580.47
181,55,1002,58,0,1024.66,614.8
182,14,2282,31,0,1661.92,1479.11
183,29,2656,144,0,1289.85,74.51
184,26,2409,145,1,1842.92,1105.75
185,21,1711,146,0,642.31,513.85
186,55,2582,147,1,1024.66,614.8
187,66,1005,148,1,1873.97,863.95
188,2,1597,149,1,2091.47,388.92
189,45,2713,150,1,183.86,137.9
190,3,1435,51,1,1793.43,248.82
191,90,1477,151,1,774.53,464.72
192,82,1614,8,1,230.91,173.18
193,10,1254,152,1,1231.15,161.6
194,6,1423,137,0,1538.99,829.65
195,91,276,153,0,586.45,521.94
196,42,1315,52,1,12.01,7.21
197,57,591,80,1,441.49,84.99
198,92,1017,136,0,1762.96,950.52
199,16,2123,154,0,1311.44,1167.18
200,77,2889,84,1,1890.39,260.14
201,58,3208,30,1,533.51,400.13
202,83,2406,13,1,688.63,612.88
203,24,2041,155,0,544.05,376.84
204,91,1598,63,1,586.45,521.94
205,46,1842,156,1,912.52,141.4
206,44,141,157,0,1129.13,677.48
207,36,1321,158,0,1635.3,993.66
208,93,183,2,0,2005.66,1203.4
209,25,2591,159,0,1415.01,1259.36
210,94,3356,160,1,1483.2,99.59
211,40,766,46,1,1458.17,874.9
212,19,1596,122,0,1469.44,596.55
213,60,520,161,0,1148.64,689.18
214,29,868,162,1,1289.85,74.51
215,5,2999,64,0,1765.3,709.48
216,20,352,163,1,360.4,270.3
217,66,1140,164,0,1873.97,863.95
218,30,621,7,0,1894.19,598.76
219,95,3307,165,0,590.26,525.33
220,85,1502,166,1,1466.68,363.25
221,22,936,40,0,1403.5,954.82
222,96,939,60,1,1703.52,1516.13
223,95,2698,167,0,590.26,525.33
224,51,579,114,1,792.9,594.68
225,8,2036,140,1,1292.84,13.44
226,96,3077,71,0,1703.52,1516.13
227,33,369,107,1,235.63,125.07
228,31,821,82,1,1163.89,589.27
229,11,2687,168,1,574.64,459.71
230,33,681,27,1,235.63,125.07
231,3,37,169,1,1793.43,248.82
232,84,3002,170,0,748.17,448.9
233,77,396,171,0,1890.39,260.14
234,26,550,171,1,1842.92,1105.75
235,35,1605,172,0,1240.31,795.1
236,16,2325,4,1,1311.44,1167.18
237,83,1420,173,1,688.63,612.88
238,10,3099,174,0,1231.15,161.6
239,12,1645,5,1,71.16,56.93
240,9,546,175,0,1071.23,380.74
241,33,2885,96,1,235.63,125.07
242,77,2740,104,0,1890.39,260.14
243,94,3166,165,1,1483.2,99.59
244,62,3487,121,1,1992.93,762.63
245,16,2890,159,1,1311.44,1167.18
246,70,3370,176,0,795.34,101.58
247,50,3393,177,1,958.74,748.9
248,77,2410,178,0,1890.39,260.14
249,12,3466,179,1,71.16,56.93
250,92,1454,180,0,1762.96,950.52
251,94,1967,26,2,1483.2,99.59
252,5,3089,181,0,1765.3,709.48
253,95,3123,182,0,590.26,525.33
254,9,2692,183,0,1071.23,380.74
255,24,2801,76,1,544.05,376.84
256,97,1580,138,1,1577.53,826.51
257,74,352,162,0,1807.45,778.69
258,58,1777,184,1,533.51,400.13
259,49,142,185,1,1179.0,707.4
260,82,3393,186,0,230.91,173.18
261,55,599,68,0,1024.66,614.8
262,39,1258,110,0,100.35,75.26
263,70,3405,138,1,795.34,101.58
264,97,3198,187,0,1577.53,826.51
265,68,834,188,0,1775.81,1580.47
266,27,3467,72,1,1769.64,108.76
267,51,3436,189,1,792.9,594.68
268,98,1516,129,0,1636.9,44.71
269,76,2833,190,1,1274.93,764.96
270,1,2362,78,0,71.49,53.62
271,17,2337,191,0,499.53,388.72
272,65,2149,192,1,358.39,215.03
273,32,2133,193,0,1151.96,649.49
274,37,360,194,1,227.88,136.73
275,21,2969,195,1,642.31,513.85
276,71,1720,196,0,575.27,431.45
277,60,2904,197,0,1148.64,689.18
278,81,754,198,0,742.54,667.4
279,22,1826,114,0,1403.5,954.82
280,73,2487,23,0,1065.03,230.09
281,40,2815,31,0,1458.17,874.9
282,22,541,199,0,1403.5,954.82
283,14,302,200,0,1661.92,1479.11
284,27,2024,201,1,1769.64,108.76
285,92,142,91,1,1762.96,950.52
286,45,768,202,1,183.86,137.9
287,29,2147,203,1,1289.85,74.51
288,64,529,204,1,945.04,507.58
